id,question,price_lookup_params,price_lookup_method,parent_market,url,marketplace_id
138,Will Trump shock the world and snag the Nobel Peace Prize in 2025?,"{'marketId': 161, 'marketplaceId': 2}",canibeton-lmsr,59,https://localhost:3005/slaughterhouse-predictions/getMarketData/will-trump-shock-the-world-and-snag-the-nobel-peace-prize-in-2025,2
139,Will the orange man become a peace dove in 2025?,"{'marketId': 156, 'marketplaceId': 3}",canibeton-lmsr,59,https://localhost:3005/terminal-degeneracy-labs/getMarketData/will-the-orange-man-become-a-peace-dove-in-2025,3
140,Will Trump's 2025 end with a Nobel Peace Prize victory?,"{'marketId': 16, 'marketplaceId': 5}",canibeton-lmsr,59,https://localhost:3005/nihilistic-prophet-syndicate/getMarketData/will-trumps-2025-end-with-a-nobel-peace-prize-victory,5
141,Will Bey finally say bye to Jay in 2025?,"{'marketId': 157, 'marketplaceId': 3}",canibeton-lmsr,60,https://localhost:3005/terminal-degeneracy-labs/getMarketData/will-bey-finally-say-bye-to-jay-in-2025,3
142,Will the throne get divided in 2025?,"{'marketId': 17, 'marketplaceId': 4}",canibeton-lmsr,60,https://localhost:3005/degen-execution-chamber/getMarketData/will-the-throne-get-divided-in-2025,4
143,Will the orange menace snag a Nobel Peace Prize in 2025?,"{'marketId': 167, 'marketplaceId': 2}",canibeton-lmsr,61,https://localhost:3005/slaughterhouse-predictions/getMarketData/will-the-orange-menace-snag-a-nobel-peace-prize-in-2025,2
144,Will the Nobel Committee crown Trump with a Peace Prize in 2025?,"{'marketId': 162, 'marketplaceId': 3}",canibeton-lmsr,61,https://localhost:3005/terminal-degeneracy-labs/getMarketData/will-the-nobel-committee-crown-trump-with-a-peace-prize-in-2025,3
145,Will hell freeze over and Trump win the 2025 Nobel Peace Prize?,"{'marketId': 21, 'marketplaceId': 4}",canibeton-lmsr,61,https://localhost:3005/degen-execution-chamber/getMarketData/will-hell-freeze-over-and-trump-win-the-2025-nobel-peace-prize,4
146,Will Trump shock the world with a 2025 Nobel Peace Prize win?,"{'marketId': 22, 'marketplaceId': 5}",canibeton-lmsr,61,https://localhost:3005/nihilistic-prophet-syndicate/getMarketData/will-trump-shock-the-world-with-a-2025-nobel-peace-prize-win,5
147,Will 2025 be the year Beyoncé finally dumps Jay-Z?,"{'marketId': 22, 'marketplaceId': 4}",canibeton-lmsr,62,https://localhost:3005/degen-execution-chamber/getMarketData/will-2025-be-the-year-beyonc-finally-dumps-jayz,4
148,Will the Carters sign divorce papers in 2025?,"{'marketId': 23, 'marketplaceId': 5}",canibeton-lmsr,62,https://localhost:3005/nihilistic-prophet-syndicate/getMarketData/will-the-carters-sign-divorce-papers-in-2025,5
149,Can big pharma save us from bird flu with an FDA-approved vaccine in 2025?,"{'marketId': 23, 'marketplaceId': 4}",canibeton-lmsr,63,https://localhost:3005/degen-execution-chamber/getMarketData/can-big-pharma-save-us-from-bird-flu-with-an-fdaapproved-vaccine-in-2025,4
150,Will the Trump-Melania marriage survive 2025?,"{'marketId': 168, 'marketplaceId': 2}",canibeton-lmsr,64,https://localhost:3005/slaughterhouse-predictions/getMarketData/will-the-trumpmelania-marriage-survive-2025,2
151,Will the Trump power couple announce their split in 2025?,"{'marketId': 163, 'marketplaceId': 3}",canibeton-lmsr,64,https://localhost:3005/terminal-degeneracy-labs/getMarketData/will-the-trump-power-couple-announce-their-split-in-2025,3
152,Will the Trump marriage meet its maker in 2025?,"{'marketId': 24, 'marketplaceId': 5}",canibeton-lmsr,64,https://localhost:3005/nihilistic-prophet-syndicate/getMarketData/will-the-trump-marriage-meet-its-maker-in-2025,5
153,Will the royal fairytale end with Harry and Meghan's divorce announcement in 2025?,"{'marketId': 169, 'marketplaceId': 2}",canibeton-lmsr,65,https://localhost:3005/slaughterhouse-predictions/getMarketData/will-the-royal-fairytale-end-with-harry-and-meghans-divorce-announcement-in-2025,2
154,Will the Sussex marriage survive 2025 without a divorce announcement?,"{'marketId': 164, 'marketplaceId': 3}",canibeton-lmsr,65,https://localhost:3005/terminal-degeneracy-labs/getMarketData/will-the-sussex-marriage-survive-2025-without-a-divorce-announcement,3
155,Will Harry and Meghan's marriage get slaughtered in 2025?,"{'marketId': 24, 'marketplaceId': 4}",canibeton-lmsr,65,https://localhost:3005/degen-execution-chamber/getMarketData/will-harry-and-meghans-marriage-get-slaughtered-in-2025,4
156,Will the Sussex marriage meet the guillotine in 2025?,"{'marketId': 25, 'marketplaceId': 5}",canibeton-lmsr,65,https://localhost:3005/nihilistic-prophet-syndicate/getMarketData/will-the-sussex-marriage-meet-the-guillotine-in-2025,5
157,Will the supreme leader of North Korea set foot on US soil in 2025?,"{'marketId': 170, 'marketplaceId': 2}",canibeton-lmsr,66,https://localhost:3005/slaughterhouse-predictions/getMarketData/will-the-supreme-leader-of-north-korea-set-foot-on-us-soil-in-2025,2
158,Will Kim Jong Un grace America with his presence in 2025?,"{'marketId': 165, 'marketplaceId': 3}",canibeton-lmsr,66,https://localhost:3005/terminal-degeneracy-labs/getMarketData/will-kim-jong-un-grace-america-with-his-presence-in-2025,3
159,Will America host its first Kim Jong Un party in 2025?,"{'marketId': 25, 'marketplaceId': 4}",canibeton-lmsr,66,https://localhost:3005/degen-execution-chamber/getMarketData/will-america-host-its-first-kim-jong-un-party-in-2025,4
160,Will Kim Jong Un finally crash the American party in 2025?,"{'marketId': 26, 'marketplaceId': 5}",canibeton-lmsr,66,https://localhost:3005/nihilistic-prophet-syndicate/getMarketData/will-kim-jong-un-finally-crash-the-american-party-in-2025,5
161,Will 2025 melt the record books as Earth's hottest year?,"{'marketId': 171, 'marketplaceId': 2}",canibeton-lmsr,67,https://localhost:3005/slaughterhouse-predictions/getMarketData/will-2025-melt-the-record-books-as-earths-hottest-year,2
162,Will 2025 torch every temperature record in history?,"{'marketId': 166, 'marketplaceId': 3}",canibeton-lmsr,67,https://localhost:3005/terminal-degeneracy-labs/getMarketData/will-2025-torch-every-temperature-record-in-history,3
163,Will 2025 be the year Earth's thermostat finally breaks?,"{'marketId': 26, 'marketplaceId': 4}",canibeton-lmsr,67,https://localhost:3005/degen-execution-chamber/getMarketData/will-2025-be-the-year-earths-thermostat-finally-breaks,4
164,Will 2025 make Earth sweat like never before?,"{'marketId': 27, 'marketplaceId': 5}",canibeton-lmsr,67,https://localhost:3005/nihilistic-prophet-syndicate/getMarketData/will-2025-make-earth-sweat-like-never-before,5
165,Will Uncle Sam finally stack some sats in 2025?,"{'marketId': 172, 'marketplaceId': 2}",canibeton-lmsr,68,https://localhost:3005/slaughterhouse-predictions/getMarketData/will-uncle-sam-finally-stack-some-sats-in-2025,2
166,Will the US government become a bitcoin hodler in 2025?,"{'marketId': 167, 'marketplaceId': 3}",canibeton-lmsr,68,https://localhost:3005/terminal-degeneracy-labs/getMarketData/will-the-us-government-become-a-bitcoin-hodler-in-2025,3
167,Will 2025 be the year America starts stacking sovereign bitcoin?,"{'marketId': 27, 'marketplaceId': 4}",canibeton-lmsr,68,https://localhost:3005/degen-execution-chamber/getMarketData/will-2025-be-the-year-america-starts-stacking-sovereign-bitcoin,4
168,Will the US treasury become a bitcoin whale in 2025?,"{'marketId': 28, 'marketplaceId': 5}",canibeton-lmsr,68,https://localhost:3005/nihilistic-prophet-syndicate/getMarketData/will-the-us-treasury-become-a-bitcoin-whale-in-2025,5
169,"Will gold hit $3,200+ by 2025's final bloodbath?","{'marketId': 173, 'marketplaceId': 2}",canibeton-lmsr,69,https://localhost:3005/slaughterhouse-predictions/getMarketData/will-gold-hit-3200-by-2025s-final-bloodbath,2
170,"Will gold's corpse be worth $3,200+ when 2025 flatlines?","{'marketId': 168, 'marketplaceId': 3}",canibeton-lmsr,69,https://localhost:3005/terminal-degeneracy-labs/getMarketData/will-golds-corpse-be-worth-3200-when-2025-flatlines,3
171,"Will gold ascend to $3,200's killing fields by 2025's end?","{'marketId': 28, 'marketplaceId': 4}",canibeton-lmsr,69,https://localhost:3005/degen-execution-chamber/getMarketData/will-gold-ascend-to-3200s-killing-fields-by-2025s-end,4
172,"Will gold's final 2025 price be a $3,200+ bloodbath?","{'marketId': 29, 'marketplaceId': 5}",canibeton-lmsr,69,https://localhost:3005/nihilistic-prophet-syndicate/getMarketData/will-golds-final-2025-price-be-a-3200-bloodbath,5
173,"Will gold hit the sweet spot of $3,100-3,200 when we bury 2025?","{'marketId': 174, 'marketplaceId': 2}",canibeton-lmsr,70,https://localhost:3005/slaughterhouse-predictions/getMarketData/will-gold-hit-the-sweet-spot-of-31003200-when-we-bury-2025,2
174,"Will gold's corpse be worth exactly $3,100-3,200 when 2025 dies?","{'marketId': 169, 'marketplaceId': 3}",canibeton-lmsr,70,https://localhost:3005/terminal-degeneracy-labs/getMarketData/will-golds-corpse-be-worth-exactly-31003200-when-2025-dies,3
175,"Will gold's final price in 2025 be trapped in the $3,100-3,200 killing zone?","{'marketId': 29, 'marketplaceId': 4}",canibeton-lmsr,70,https://localhost:3005/degen-execution-chamber/getMarketData/will-golds-final-price-in-2025-be-trapped-in-the-31003200-killing-zone,4
176,"Will gold hit the sweet spot of $3,000-3,100 when we bury 2025?","{'marketId': 175, 'marketplaceId': 2}",canibeton-lmsr,71,https://localhost:3005/slaughterhouse-predictions/getMarketData/will-gold-hit-the-sweet-spot-of-30003100-when-we-bury-2025,2
177,Will gold's final 2025 price land in the $3k-$3.1k killing zone?,"{'marketId': 170, 'marketplaceId': 3}",canibeton-lmsr,71,https://localhost:3005/terminal-degeneracy-labs/getMarketData/will-golds-final-2025-price-land-in-the-3k31k-killing-zone,3
178,"Will gold's 2025 deathbed price be exactly $3,000-3,100?","{'marketId': 30, 'marketplaceId': 4}",canibeton-lmsr,71,https://localhost:3005/degen-execution-chamber/getMarketData/will-golds-2025-deathbed-price-be-exactly-30003100,4
179,"Will gold close 2025 in the $3,000-3,100 bloodbath zone?","{'marketId': 30, 'marketplaceId': 5}",canibeton-lmsr,71,https://localhost:3005/nihilistic-prophet-syndicate/getMarketData/will-gold-close-2025-in-the-30003100-bloodbath-zone,5
180,"Will gold hit the sweet spot of $2,900-3,000 when we bury 2025?","{'marketId': 176, 'marketplaceId': 2}",canibeton-lmsr,72,https://localhost:3005/slaughterhouse-predictions/getMarketData/will-gold-hit-the-sweet-spot-of-29003000-when-we-bury-2025,2
181,"Will gold's corpse be worth $2,900-3k when 2025 flatlines?","{'marketId': 171, 'marketplaceId': 3}",canibeton-lmsr,72,https://localhost:3005/terminal-degeneracy-labs/getMarketData/will-golds-corpse-be-worth-29003k-when-2025-flatlines,3
182,"Will gold be executed in the $2,900-3,000 range as 2025 dies?","{'marketId': 31, 'marketplaceId': 5}",canibeton-lmsr,72,https://localhost:3005/nihilistic-prophet-syndicate/getMarketData/will-gold-be-executed-in-the-29003000-range-as-2025-dies,5
183,"Will gold hit the sweet spot of $2,800-2,900 when we bury 2025?","{'marketId': 177, 'marketplaceId': 2}",canibeton-lmsr,73,https://localhost:3005/slaughterhouse-predictions/getMarketData/will-gold-hit-the-sweet-spot-of-28002900-when-we-bury-2025,2
184,"Will gold's corpse be worth $2,800-2,900 when 2025 flatlines?","{'marketId': 172, 'marketplaceId': 3}",canibeton-lmsr,73,https://localhost:3005/terminal-degeneracy-labs/getMarketData/will-golds-corpse-be-worth-28002900-when-2025-flatlines,3
185,"Will gold's final price in 2025 be trapped in the $2,800-2,900 killing floor?","{'marketId': 31, 'marketplaceId': 4}",canibeton-lmsr,73,https://localhost:3005/degen-execution-chamber/getMarketData/will-golds-final-price-in-2025-be-trapped-in-the-28002900-killing-floor,4
186,"Will gold end 2025 in the $2,800-2,900 torture chamber?","{'marketId': 32, 'marketplaceId': 5}",canibeton-lmsr,73,https://localhost:3005/nihilistic-prophet-syndicate/getMarketData/will-gold-end-2025-in-the-28002900-torture-chamber,5
187,"Will gold hit the sweet spot of $2,700-2,800 when we bury 2025?","{'marketId': 178, 'marketplaceId': 2}",canibeton-lmsr,74,https://localhost:3005/slaughterhouse-predictions/getMarketData/will-gold-hit-the-sweet-spot-of-27002800-when-we-bury-2025,2
188,"Will gold's death dance end at $2,700-2,800 in 2025?","{'marketId': 173, 'marketplaceId': 3}",canibeton-lmsr,74,https://localhost:3005/terminal-degeneracy-labs/getMarketData/will-golds-death-dance-end-at-27002800-in-2025,3
189,"Will gold's final price in 2025 be trapped in the $2,700-2,800 killing zone?","{'marketId': 32, 'marketplaceId': 4}",canibeton-lmsr,74,https://localhost:3005/degen-execution-chamber/getMarketData/will-golds-final-price-in-2025-be-trapped-in-the-27002800-killing-zone,4
190,"Will gold's 2025 finale bleed out between $2,700-2,800?","{'marketId': 33, 'marketplaceId': 5}",canibeton-lmsr,74,https://localhost:3005/nihilistic-prophet-syndicate/getMarketData/will-golds-2025-finale-bleed-out-between-27002800,5
191,"Will gold hit the sweet spot of $2,600-2,700 when we bury 2025?","{'marketId': 179, 'marketplaceId': 2}",canibeton-lmsr,75,https://localhost:3005/slaughterhouse-predictions/getMarketData/will-gold-hit-the-sweet-spot-of-26002700-when-we-bury-2025,2
192,"Will gold's corpse be worth $2,600-2,700 when we toe-tag 2025?","{'marketId': 174, 'marketplaceId': 3}",canibeton-lmsr,75,https://localhost:3005/terminal-degeneracy-labs/getMarketData/will-golds-corpse-be-worth-26002700-when-we-toetag-2025,3
193,"Will gold end 2025 dead on arrival at $2,600-2,700?","{'marketId': 34, 'marketplaceId': 5}",canibeton-lmsr,75,https://localhost:3005/nihilistic-prophet-syndicate/getMarketData/will-gold-end-2025-dead-on-arrival-at-26002700,5
194,"Will gold hit the sweet spot of $2,500-2,600 when we bury 2025?","{'marketId': 180, 'marketplaceId': 2}",canibeton-lmsr,76,https://localhost:3005/slaughterhouse-predictions/getMarketData/will-gold-hit-the-sweet-spot-of-25002600-when-we-bury-2025,2
195,"Will gold's 2025 death price land in the $2,500-2,600 killzone?","{'marketId': 175, 'marketplaceId': 3}",canibeton-lmsr,76,https://localhost:3005/terminal-degeneracy-labs/getMarketData/will-golds-2025-death-price-land-in-the-25002600-killzone,3
196,"Will gold's final 2025 price be trapped between $2,500-2,600?","{'marketId': 33, 'marketplaceId': 4}",canibeton-lmsr,76,https://localhost:3005/degen-execution-chamber/getMarketData/will-golds-final-2025-price-be-trapped-between-25002600,4
197,"Will gold end 2025 dead center between $2,500-2,600?","{'marketId': 35, 'marketplaceId': 5}",canibeton-lmsr,76,https://localhost:3005/nihilistic-prophet-syndicate/getMarketData/will-gold-end-2025-dead-center-between-25002600,5
198,"Will gold be a total loser and stay under $2,500 when 2025 dies?","{'marketId': 181, 'marketplaceId': 2}",canibeton-lmsr,77,https://localhost:3005/slaughterhouse-predictions/getMarketData/will-gold-be-a-total-loser-and-stay-under-2500-when-2025-dies,2
199,"Will gold fail to break $2,500 in the great 2025 finale?","{'marketId': 176, 'marketplaceId': 3}",canibeton-lmsr,77,https://localhost:3005/terminal-degeneracy-labs/getMarketData/will-gold-fail-to-break-2500-in-the-great-2025-finale,3
200,"Will gold prove pathetic and close 2025 under $2,500?","{'marketId': 34, 'marketplaceId': 4}",canibeton-lmsr,77,https://localhost:3005/degen-execution-chamber/getMarketData/will-gold-prove-pathetic-and-close-2025-under-2500,4
201,"Will gold choke and stay under $2,500 as 2025 bleeds out?","{'marketId': 36, 'marketplaceId': 5}",canibeton-lmsr,77,https://localhost:3005/nihilistic-prophet-syndicate/getMarketData/will-gold-choke-and-stay-under-2500-as-2025-bleeds-out,5
202,Will Saylor's stack get slaughtered in 2025?,"{'marketId': 177, 'marketplaceId': 3}",canibeton-lmsr,78,https://localhost:3005/terminal-degeneracy-labs/getMarketData/will-saylors-stack-get-slaughtered-in-2025,3
203,Will MicroStrategy betray the Bitcoin brotherhood in 2025?,"{'marketId': 35, 'marketplaceId': 4}",canibeton-lmsr,78,https://localhost:3005/degen-execution-chamber/getMarketData/will-microstrategy-betray-the-bitcoin-brotherhood-in-2025,4
204,Will MicroStrategy's Bitcoin stack survive 2025 intact?,"{'marketId': 37, 'marketplaceId': 5}",canibeton-lmsr,78,https://localhost:3005/nihilistic-prophet-syndicate/getMarketData/will-microstrategys-bitcoin-stack-survive-2025-intact,5
205,Will Uncle Sam finally admit the little green men are real in 2025?,"{'marketId': 182, 'marketplaceId': 2}",canibeton-lmsr,79,https://localhost:3005/slaughterhouse-predictions/getMarketData/will-uncle-sam-finally-admit-the-little-green-men-are-real-in-2025,2
206,Will the US government finally stop ghosting us about aliens in 2025?,"{'marketId': 38, 'marketplaceId': 5}",canibeton-lmsr,79,https://localhost:3005/nihilistic-prophet-syndicate/getMarketData/will-the-us-government-finally-stop-ghosting-us-about-aliens-in-2025,5
207,Will the SEC finally let Doge join the ETF party by end of 2025?,"{'marketId': 183, 'marketplaceId': 2}",canibeton-lmsr,80,https://localhost:3005/slaughterhouse-predictions/getMarketData/will-the-sec-finally-let-doge-join-the-etf-party-by-end-of-2025,2
208,Will the SEC butcher Doge's ETF dreams through 2025?,"{'marketId': 178, 'marketplaceId': 3}",canibeton-lmsr,80,https://localhost:3005/terminal-degeneracy-labs/getMarketData/will-the-sec-butcher-doges-etf-dreams-through-2025,3
209,Will the SEC execute Doge's ETF hopes before 2026?,"{'marketId': 39, 'marketplaceId': 5}",canibeton-lmsr,80,https://localhost:3005/nihilistic-prophet-syndicate/getMarketData/will-the-sec-execute-doges-etf-hopes-before-2026,5
210,Will the WHO sentence us to another pandemic hellscape in 2025?,"{'marketId': 36, 'marketplaceId': 4}",canibeton-lmsr,81,https://localhost:3005/degen-execution-chamber/getMarketData/will-the-who-sentence-us-to-another-pandemic-hellscape-in-2025,4
211,Will the WHO unleash pandemic panic 2.0 in 2025?,"{'marketId': 40, 'marketplaceId': 5}",canibeton-lmsr,81,https://localhost:3005/nihilistic-prophet-syndicate/getMarketData/will-the-who-unleash-pandemic-panic-20-in-2025,5
212,Will the SEC approve a Ripple ETF and send XRP maxis to Valhalla?,"{'marketId': 184, 'marketplaceId': 2}",canibeton-lmsr,82,https://localhost:3005/slaughterhouse-predictions/getMarketData/will-the-sec-approve-a-ripple-etf-and-send-xrp-maxis-to-valhalla,2
213,Will XRP bulls feast on ETF approval meat by end of 2025?,"{'marketId': 179, 'marketplaceId': 3}",canibeton-lmsr,82,https://localhost:3005/terminal-degeneracy-labs/getMarketData/will-xrp-bulls-feast-on-etf-approval-meat-by-end-of-2025,3
214,Will the SEC finally let XRP join the ETF feast?,"{'marketId': 37, 'marketplaceId': 4}",canibeton-lmsr,82,https://localhost:3005/degen-execution-chamber/getMarketData/will-the-sec-finally-let-xrp-join-the-etf-feast,4
215,Will Ripple secure the holy grail of ETF approval?,"{'marketId': 41, 'marketplaceId': 5}",canibeton-lmsr,82,https://localhost:3005/nihilistic-prophet-syndicate/getMarketData/will-ripple-secure-the-holy-grail-of-etf-approval,5
216,Will America's sweetheart put a ring on her tight end by 2026?,"{'marketId': 185, 'marketplaceId': 2}",canibeton-lmsr,83,https://localhost:3005/slaughterhouse-predictions/getMarketData/will-americas-sweetheart-put-a-ring-on-her-tight-end-by-2026,2
217,Will Swift-Kelce make it official before 2026 kicks off?,"{'marketId': 180, 'marketplaceId': 3}",canibeton-lmsr,83,https://localhost:3005/terminal-degeneracy-labs/getMarketData/will-swiftkelce-make-it-official-before-2026-kicks-off,3
218,Will Taylor trade promise rings for engagement bling by end of 2025?,"{'marketId': 38, 'marketplaceId': 4}",canibeton-lmsr,83,https://localhost:3005/degen-execution-chamber/getMarketData/will-taylor-trade-promise-rings-for-engagement-bling-by-end-of-2025,4
219,Will Swift-Kelce seal the deal with a ring by 2026?,"{'marketId': 42, 'marketplaceId': 5}",canibeton-lmsr,83,https://localhost:3005/nihilistic-prophet-syndicate/getMarketData/will-swiftkelce-seal-the-deal-with-a-ring-by-2026,5
220,Will Selena Gomez's heart get butchered at the altar before 2026?,"{'marketId': 186, 'marketplaceId': 2}",canibeton-lmsr,84,https://localhost:3005/slaughterhouse-predictions/getMarketData/will-selena-gomezs-heart-get-butchered-at-the-altar-before-2026,2
221,Will Selena Gomez sign her death warrant (marriage license) with Benny by 2026?,"{'marketId': 39, 'marketplaceId': 4}",canibeton-lmsr,84,https://localhost:3005/degen-execution-chamber/getMarketData/will-selena-gomez-sign-her-death-warrant-marriage-license-with-benny-by-2026,4
222,Will Lucky Blue Smith's marriage survive 2025?,"{'marketId': 187, 'marketplaceId': 2}",canibeton-lmsr,85,https://localhost:3005/slaughterhouse-predictions/getMarketData/will-lucky-blue-smiths-marriage-survive-2025,2
223,Will Nara and Lucky Blue Smith's marriage get butchered in 2025?,"{'marketId': 182, 'marketplaceId': 3}",canibeton-lmsr,85,https://localhost:3005/terminal-degeneracy-labs/getMarketData/will-nara-and-lucky-blue-smiths-marriage-get-butchered-in-2025,3
224,Will Nara and Lucky's marriage flatline before 2026?,"{'marketId': 43, 'marketplaceId': 5}",canibeton-lmsr,85,https://localhost:3005/nihilistic-prophet-syndicate/getMarketData/will-nara-and-luckys-marriage-flatline-before-2026,5
225,Will the pop princess announce her last dance in 2025?,"{'marketId': 188, 'marketplaceId': 2}",canibeton-lmsr,86,https://localhost:3005/slaughterhouse-predictions/getMarketData/will-the-pop-princess-announce-her-last-dance-in-2025,2
226,Will Britney butcher your bankroll with a tour announcement?,"{'marketId': 183, 'marketplaceId': 3}",canibeton-lmsr,86,https://localhost:3005/terminal-degeneracy-labs/getMarketData/will-britney-butcher-your-bankroll-with-a-tour-announcement,3
227,Will Britney's tour plans send your portfolio to the morgue?,"{'marketId': 44, 'marketplaceId': 5}",canibeton-lmsr,86,https://localhost:3005/nihilistic-prophet-syndicate/getMarketData/will-britneys-tour-plans-send-your-portfolio-to-the-morgue,5
228,Will Ethereum get slaughtered at $4k before 2026?,"{'marketId': 189, 'marketplaceId': 2}",canibeton-lmsr,87,https://localhost:3005/slaughterhouse-predictions/getMarketData/will-ethereum-get-slaughtered-at-4k-before-2026,2
229,Will Ethereum finally stop being a little bitch and breach $4k?,"{'marketId': 184, 'marketplaceId': 3}",canibeton-lmsr,87,https://localhost:3005/terminal-degeneracy-labs/getMarketData/will-ethereum-finally-stop-being-a-little-bitch-and-breach-4k,3
230,Will Ethereum's corpse be worth $4k before 2026?,"{'marketId': 40, 'marketplaceId': 4}",canibeton-lmsr,87,https://localhost:3005/degen-execution-chamber/getMarketData/will-ethereums-corpse-be-worth-4k-before-2026,4
231,Will eth get slaughtered at $5k by new year's eve?,"{'marketId': 190, 'marketplaceId': 2}",canibeton-lmsr,88,https://localhost:3005/slaughterhouse-predictions/getMarketData/will-eth-get-slaughtered-at-5k-by-new-years-eve,2
232,Will ethereum ascend to $5k before the final slaughter of 2025?,"{'marketId': 185, 'marketplaceId': 3}",canibeton-lmsr,88,https://localhost:3005/terminal-degeneracy-labs/getMarketData/will-ethereum-ascend-to-5k-before-the-final-slaughter-of-2025,3
233,Will ethereum's corpse be worth $5k before 2026?,"{'marketId': 41, 'marketplaceId': 4}",canibeton-lmsr,88,https://localhost:3005/degen-execution-chamber/getMarketData/will-ethereums-corpse-be-worth-5k-before-2026,4
234,Will ethereum reach $5k or die trying in 2025?,"{'marketId': 45, 'marketplaceId': 5}",canibeton-lmsr,88,https://localhost:3005/nihilistic-prophet-syndicate/getMarketData/will-ethereum-reach-5k-or-die-trying-in-2025,5
235,Will eth go full chad mode and smash $6k before 2026?,"{'marketId': 191, 'marketplaceId': 2}",canibeton-lmsr,89,https://localhost:3005/slaughterhouse-predictions/getMarketData/will-eth-go-full-chad-mode-and-smash-6k-before-2026,2
236,Will ethereum's price butcher bears with a $6k+ high in 2025?,"{'marketId': 186, 'marketplaceId': 3}",canibeton-lmsr,89,https://localhost:3005/terminal-degeneracy-labs/getMarketData/will-ethereums-price-butcher-bears-with-a-6k-high-in-2025,3
237,Will ethereum paint the charts red with $6k before 2026?,"{'marketId': 46, 'marketplaceId': 5}",canibeton-lmsr,89,https://localhost:3005/nihilistic-prophet-syndicate/getMarketData/will-ethereum-paint-the-charts-red-with-6k-before-2026,5
238,Will eth blast through 7k and make hodlers rich af by new year's eve?,"{'marketId': 192, 'marketplaceId': 2}",canibeton-lmsr,90,https://localhost:3005/slaughterhouse-predictions/getMarketData/will-eth-blast-through-7k-and-make-hodlers-rich-af-by-new-years-eve,2
239,Will ethereum's price butcher bears with a 7k breach before 2026?,"{'marketId': 187, 'marketplaceId': 3}",canibeton-lmsr,90,https://localhost:3005/terminal-degeneracy-labs/getMarketData/will-ethereums-price-butcher-bears-with-a-7k-breach-before-2026,3
240,Will ethereum slaughter resistance and carve up 7k by end of 2025?,"{'marketId': 42, 'marketplaceId': 4}",canibeton-lmsr,90,https://localhost:3005/degen-execution-chamber/getMarketData/will-ethereum-slaughter-resistance-and-carve-up-7k-by-end-of-2025,4
